# tipo,u,v,peso
D,28,7,13
D,12,6,4
D,2,5,4
D,7,16,19
D,18,5,16
D,13,12,4
D,21,23,20
D,11,15,10
D,26,24,19
D,18,16,14
D,28,0,20
D,19,14,7
D,6,24,8
D,3,18,10
D,16,26,16
D,18,25,15
D,28,5,1
D,5,0,2
D,2,7,16
D,25,6,7
D,9,18,11
D,8,17,19
D,8,9,3
D,25,13,20
D,26,1,7
D,3,8,4
D,29,8,13
D,0,22,12
D,2,5,9
D,22,14,5
U,21,2,3
U,29,5,16
U,28,14,16
U,20,24,13
U,6,14,9
U,0,13,7
U,9,10,6
U,29,28,7
U,25,19,12
U,23,21,11
U,10,2,15
U,22,26,10
U,3,29,10
U,20,16,11
U,20,1,9
U,23,19,1
U,27,15,3
U,6,12,2
U,24,27,10
U,5,11,2
U,26,0,14
U,25,0,17
U,0,7,2
U,3,1,8
U,7,5,19
U,2,19,2
U,9,3,6
U,1,19,3
U,4,24,13
U,20,10,12
