instancia,pop_size,prob_mut,num_gen,mean_fitness,best_instance_fitness,deviation_percent
CPP-23.txt,20,1,100,708.2,535,32.37383177570094
CPP-23.txt,20,1,500,644.0,535,20.373831775700936
CPP-23.txt,20,1,1000,571.6,535,6.841121495327107
CPP-23.txt,20,2,100,inf,535,inf
CPP-23.txt,20,2,500,601.6,535,12.448598130841127
CPP-23.txt,20,2,1000,563.6,535,5.345794392523369
CPP-23.txt,50,1,100,701.6,535,31.140186915887856
CPP-23.txt,50,1,500,662.6,535,23.850467289719628
CPP-23.txt,50,1,1000,636.4,535,18.95327102803738
CPP-23.txt,50,2,100,733.8,535,37.158878504672884
CPP-23.txt,50,2,500,654.4,535,22.31775700934579
CPP-23.txt,50,2,1000,611.2,535,14.242990654205617
CPP-23.txt,100,1,100,680.0,535,27.102803738317753
CPP-23.txt,100,1,500,649.2,535,21.345794392523374
CPP-23.txt,100,1,1000,612.8,535,14.542056074766347
CPP-23.txt,100,2,100,715.2,535,33.68224299065422
CPP-23.txt,100,2,500,693.2,535,29.570093457943937
CPP-23.txt,100,2,1000,636.2,535,18.915887850467296
CPP-9.txt,20,1,100,61.8,46,34.347826086956516
CPP-9.txt,20,1,500,55.8,46,21.30434782608695
CPP-9.txt,20,1,1000,49.6,46,7.826086956521743
CPP-9.txt,20,2,100,63.8,46,38.69565217391304
CPP-9.txt,20,2,500,52.6,46,14.347826086956525
CPP-9.txt,20,2,1000,50.4,46,9.565217391304346
CPP-9.txt,50,1,100,68.2,46,48.2608695652174
CPP-9.txt,50,1,500,58.8,46,27.826086956521735
CPP-9.txt,50,1,1000,51.2,46,11.304347826086962
CPP-9.txt,50,2,100,64.6,46,40.43478260869564
CPP-9.txt,50,2,500,59.4,46,29.130434782608695
CPP-9.txt,50,2,1000,48.8,46,6.086956521739125
CPP-9.txt,100,1,100,65.8,46,43.04347826086956
CPP-9.txt,100,1,500,57.6,46,25.21739130434783
CPP-9.txt,100,1,1000,53.2,46,15.652173913043486
CPP-9.txt,100,2,100,70.8,46,53.91304347826086
CPP-9.txt,100,2,500,58.6,46,27.39130434782609
CPP-9.txt,100,2,1000,53.8,46,16.95652173913043
CPP-19.txt,20,1,100,230.8,162,42.46913580246915
CPP-19.txt,20,1,500,200.4,162,23.703703703703706
CPP-19.txt,20,1,1000,180.0,162,11.11111111111111
CPP-19.txt,20,2,100,232.6,162,43.58024691358025
CPP-19.txt,20,2,500,204.8,162,26.41975308641976
CPP-19.txt,20,2,1000,193.2,162,19.259259259259252
CPP-19.txt,50,1,100,234.8,162,44.93827160493828
CPP-19.txt,50,1,500,212.2,162,30.987654320987644
CPP-19.txt,50,1,1000,196.0,162,20.98765432098765
CPP-19.txt,50,2,100,237.2,162,46.419753086419746
CPP-19.txt,50,2,500,206.0,162,27.160493827160494
CPP-19.txt,50,2,1000,191.6,162,18.2716049382716
CPP-19.txt,100,1,100,234.4,162,44.69135802469136
CPP-19.txt,100,1,500,215.2,162,32.8395061728395
CPP-19.txt,100,1,1000,205.0,162,26.543209876543212
CPP-19.txt,100,2,100,238.8,162,47.40740740740741
CPP-19.txt,100,2,500,218.2,162,34.69135802469135
CPP-19.txt,100,2,1000,196.2,162,21.111111111111104
CPP-15.txt,20,1,100,421.0,253,66.40316205533597
CPP-15.txt,20,1,500,320.6,253,26.719367588932812
CPP-15.txt,20,1,1000,277.8,253,9.80237154150198
CPP-15.txt,20,2,100,394.0,253,55.73122529644269
CPP-15.txt,20,2,500,320.6,253,26.719367588932812
CPP-15.txt,20,2,1000,293.4,253,15.968379446640308
CPP-15.txt,50,1,100,415.6,253,64.26877470355731
CPP-15.txt,50,1,500,348.0,253,37.54940711462451
CPP-15.txt,50,1,1000,305.8,253,20.869565217391308
CPP-15.txt,50,2,100,407.6,253,61.106719367588944
CPP-15.txt,50,2,500,337.8,253,33.51778656126483
CPP-15.txt,50,2,1000,309.8,253,22.4505928853755
CPP-15.txt,100,1,100,433.0,253,71.14624505928853
CPP-15.txt,100,1,500,382.0,253,50.988142292490124
CPP-15.txt,100,1,1000,338.0,253,33.59683794466403
CPP-15.txt,100,2,100,444.4,253,75.65217391304347
CPP-15.txt,100,2,500,377.8,253,49.328063241106726
CPP-15.txt,100,2,1000,335.8,253,32.727272727272734
CPP-7.txt,20,1,100,116.8,88,32.72727272727272
CPP-7.txt,20,1,500,104.2,88,18.40909090909091
CPP-7.txt,20,1,1000,96.8,88,9.999999999999996
CPP-7.txt,20,2,100,113.8,88,29.318181818181817
CPP-7.txt,20,2,500,103.6,88,17.727272727272723
CPP-7.txt,20,2,1000,96.6,88,9.772727272727266
CPP-7.txt,50,1,100,115.6,88,31.363636363636356
CPP-7.txt,50,1,500,107.6,88,22.272727272727266
CPP-7.txt,50,1,1000,98.8,88,12.27272727272727
CPP-7.txt,50,2,100,124.0,88,40.909090909090914
CPP-7.txt,50,2,500,102.2,88,16.13636363636364
CPP-7.txt,50,2,1000,102.0,88,15.909090909090908
CPP-7.txt,100,1,100,116.6,88,32.49999999999999
CPP-7.txt,100,1,500,105.6,88,19.999999999999993
CPP-7.txt,100,1,1000,102.0,88,15.909090909090908
CPP-7.txt,100,2,100,126.8,88,44.090909090909086
CPP-7.txt,100,2,500,110.0,88,25.0
CPP-7.txt,100,2,1000,106.0,88,20.454545454545457
CPP-4.txt,20,1,100,47.4,33,43.63636363636363
CPP-4.txt,20,1,500,38.6,33,16.969696969696972
CPP-4.txt,20,1,1000,34.8,33,5.454545454545446
CPP-4.txt,20,2,100,49.8,33,50.90909090909091
CPP-4.txt,20,2,500,37.0,33,12.121212121212121
CPP-4.txt,20,2,1000,35.6,33,7.878787878787883
CPP-4.txt,50,1,100,51.0,33,54.54545454545454
CPP-4.txt,50,1,500,44.2,33,33.939393939393945
CPP-4.txt,50,1,1000,36.2,33,9.696969696969706
CPP-4.txt,50,2,100,51.8,33,56.96969696969696
CPP-4.txt,50,2,500,42.6,33,29.090909090909093
CPP-4.txt,50,2,1000,37.0,33,12.121212121212121
CPP-4.txt,100,1,100,51.0,33,54.54545454545454
CPP-4.txt,100,1,500,43.6,33,32.121212121212125
CPP-4.txt,100,1,1000,38.2,33,15.757575757575767
CPP-4.txt,100,2,100,53.2,33,61.21212121212122
CPP-4.txt,100,2,500,42.6,33,29.090909090909093
CPP-4.txt,100,2,1000,39.4,33,19.393939393939387
CPP-20.txt,20,1,100,198.8,145,37.10344827586208
CPP-20.txt,20,1,500,164.6,145,13.517241379310342
CPP-20.txt,20,1,1000,158.2,145,9.10344827586206
CPP-20.txt,20,2,100,204.6,145,41.103448275862064
CPP-20.txt,20,2,500,174.0,145,20.0
CPP-20.txt,20,2,1000,162.4,145,12.000000000000004
CPP-20.txt,50,1,100,214.0,145,47.58620689655172
CPP-20.txt,50,1,500,179.6,145,23.86206896551724
CPP-20.txt,50,1,1000,169.4,145,16.827586206896555
CPP-20.txt,50,2,100,214.6,145,48.0
CPP-20.txt,50,2,500,181.4,145,25.10344827586207
CPP-20.txt,50,2,1000,170.8,145,17.793103448275872
CPP-20.txt,100,1,100,215.6,145,48.68965517241379
CPP-20.txt,100,1,500,186.6,145,28.68965517241379
CPP-20.txt,100,1,1000,169.2,145,16.689655172413786
CPP-20.txt,100,2,100,213.0,145,46.89655172413793
CPP-20.txt,100,2,500,191.2,145,31.86206896551723
CPP-20.txt,100,2,1000,170.8,145,17.793103448275872
CPP-14.txt,20,1,100,206.6,151,36.82119205298013
CPP-14.txt,20,1,500,175.6,151,16.291390728476816
CPP-14.txt,20,1,1000,161.2,151,6.754966887417211
CPP-14.txt,20,2,100,215.8,151,42.91390728476822
CPP-14.txt,20,2,500,180.4,151,19.470198675496693
CPP-14.txt,20,2,1000,167.6,151,10.993377483443705
CPP-14.txt,50,1,100,210.6,151,39.47019867549669
CPP-14.txt,50,1,500,191.8,151,27.01986754966888
CPP-14.txt,50,1,1000,184.0,151,21.85430463576159
CPP-14.txt,50,2,100,217.0,151,43.70860927152318
CPP-14.txt,50,2,500,190.6,151,26.225165562913904
CPP-14.txt,50,2,1000,178.0,151,17.880794701986755
CPP-14.txt,100,1,100,208.4,151,38.01324503311258
CPP-14.txt,100,1,500,193.6,151,28.211920529801322
CPP-14.txt,100,1,1000,187.0,151,23.841059602649008
CPP-14.txt,100,2,100,209.8,151,38.940397350993386
CPP-14.txt,100,2,500,201.6,151,33.50993377483443
CPP-14.txt,100,2,1000,187.8,151,24.370860927152325
CPP-29.txt,20,1,100,345.8,222,55.76576576576577
CPP-29.txt,20,1,500,287.6,222,29.54954954954956
CPP-29.txt,20,1,1000,259.2,222,16.75675675675675
CPP-29.txt,20,2,100,350.2,222,57.747747747747745
CPP-29.txt,20,2,500,280.4,222,26.306306306306297
CPP-29.txt,20,2,1000,259.6,222,16.93693693693695
CPP-29.txt,50,1,100,365.6,222,64.6846846846847
CPP-29.txt,50,1,500,305.4,222,37.56756756756756
CPP-29.txt,50,1,1000,276.2,222,24.41441441441441
CPP-29.txt,50,2,100,343.6,222,54.774774774774784
CPP-29.txt,50,2,500,305.0,222,37.38738738738739
CPP-29.txt,50,2,1000,270.6,222,21.891891891891902
CPP-29.txt,100,1,100,357.4,222,60.99099099099098
CPP-29.txt,100,1,500,330.4,222,48.82882882882882
CPP-29.txt,100,1,1000,285.8,222,28.738738738738746
CPP-29.txt,100,2,100,363.0,222,63.51351351351351
CPP-29.txt,100,2,500,316.6,222,42.61261261261262
CPP-29.txt,100,2,1000,288.0,222,29.72972972972973
